	legnum
evenBo8.oddBo53	26226
evenBo38.oddBo77	77660
evenBo36.oddBo67	15507
evenBo4.oddBo58	70683
evenBo13.oddBo89	831
evenBo34.oddBo84	52573
evenBo6.oddBo60	17956
evenBo16.oddBo62	28847
evenBo21.oddBo20	7282
evenBo28.oddBo70	65765
evenBo45.oddBo81	30013
evenBo39.oddBo53	34709
evenBo31.oddBo35	21918
evenBo32.oddBo46	50784
evenBo36.oddBo49	49925
evenBo30.oddBo51	63148
evenBo40.oddBo13	20274
evenBo15.oddBo54	27657
evenBo1.oddBo55	3272
evenBo39.oddBo38	24095
evenBo34.oddBo30	25413
evenBo31.oddBo70	104910
evenBo41.oddBo58	311446
evenBo24.oddBo74	54451
evenBo10.oddBo69	101109
evenBo30.oddBo72	119868
evenBo35.oddBo63	150239
evenBo31.oddBo1	991
evenBo32.oddBo51	83424
evenBo20.oddBo48	72239
evenBo23.oddBo90	3815
evenBo38.oddBo50	44782
evenBo41.oddBo75	17821
evenBo18.oddBo3	6060
evenBo15.oddBo66	53629
evenBo47.oddBo89	18670
evenBo2.oddBo57	57689
evenBo28.oddBo86	38131
evenBo2.oddBo34	41679
evenBo36.oddBo75	188234
evenBo39.oddBo43	76552
evenBo40.oddBo25	20151
evenBo39.oddBo24	15507
evenBo46.oddBo62	28225
evenBo46.oddBo43	17407
evenBo41.oddBo64	31395
evenBo38.oddBo20	54062
evenBo13.oddBo71	43528
evenBo47.oddBo91	26121
evenBo3.oddBo31	2669
evenBo31.oddBo62	86214
evenBo30.oddBo71	193178
evenBo30.oddBo58	2901
evenBo17.oddBo55	38170
evenBo44.oddBo79	2701
evenBo37.oddBo47	84532
evenBo16.oddBo74	47098
evenBo44.oddBo69	24152
evenBo46.oddBo59	37438
evenBo7.oddBo41	17840
evenBo31.oddBo67	64908
evenBo32.oddBo85	45212
evenBo41.oddBo84	46232
evenBo45.oddBo62	80518
evenBo5.oddBo21	43650
evenBo24.oddBo34	66873
evenBo46.oddBo67	40020
evenBo31.oddBo18	30455
evenBo47.oddBo33	39547
evenBo16.oddBo59	119279
evenBo27.oddBo87	20795
evenBo34.oddBo49	73683
evenBo23.oddBo2	27298
evenBo28.oddBo68	50945
evenBo14.oddBo16	77041
evenBo26.oddBo83	68967
evenBo35.oddBo77	24586
evenBo30.oddBo35	28100
evenBo34.oddBo34	68069
evenBo48.oddBo89	118965
evenBo41.oddBo72	57481
evenBo32.oddBo13	34429
evenBo19.oddBo56	12790
evenBo15.oddBo8	7898
evenBo3.oddBo27	3747
evenBo17.oddBo50	28892
evenBo38.oddBo64	95542
evenBo29.oddBo54	175386
evenBo9.oddBo40	13258
evenBo16.oddBo41	51524
evenBo7.oddBo61	53282
evenBo47.oddBo41	15936
evenBo25.oddBo56	36136
evenBo48.oddBo65	47080
evenBo34.oddBo69	114329
evenBo11.oddBo50	10912
evenBo36.oddBo47	66496
evenBo35.oddBo20	9957
evenBo7.oddBo63	242368
evenBo31.oddBo59	129099
evenBo27.oddBo30	52045
evenBo21.oddBo84	20654
evenBo35.oddBo39	51699
evenBo32.oddBo25	11257
evenBo42.oddBo45	25132
evenBo4.oddBo46	8924
evenBo24.oddBo3	63767
evenBo37.oddBo44	113368
evenBo23.oddBo87	8625
evenBo20.oddBo23	21580
evenBo25.oddBo40	11333
evenBo30.oddBo27	3190
evenBo46.oddBo76	32889
evenBo21.oddBo70	1703
evenBo37.oddBo41	87703
evenBo6.oddBo56	24305
evenBo33.oddBo6	43153
evenBo35.oddBo9	4833
evenBo21.oddBo75	19397
evenBo23.oddBo58	91086
evenBo50.oddBo77	30319
evenBo29.oddBo65	97727
evenBo47.oddBo84	9470
evenBo47.oddBo73	28909
evenBo39.oddBo68	117425
evenBo13.oddBo40	9071
evenBo46.oddBo65	37160
evenBo33.oddBo40	40233
evenBo36.oddBo34	54380
evenBo41.oddBo63	55695
evenBo19.oddBo76	64267
evenBo40.oddBo61	71262
evenBo34.oddBo68	57355
evenBo14.oddBo17	29926
evenBo33.oddBo22	16910
evenBo4.oddBo22	19297
evenBo11.oddBo67	195520
evenBo26.oddBo4	27184
evenBo19.oddBo52	36415
evenBo35.oddBo43	65709
evenBo22.oddBo33	33708
evenBo5.oddBo51	24603
