spot_id	x	y	clusternum
evenBo47.oddBo73	3	23	767
evenBo39.oddBo68	11	28	1096
evenBo13.oddBo40	37	56	321
evenBo46.oddBo65	4	31	768
evenBo33.oddBo40	17	56	771
evenBo36.oddBo34	14	62	998
evenBo41.oddBo63	9	33	1728
evenBo19.oddBo76	31	20	1024
evenBo40.oddBo61	10	35	1182
evenBo34.oddBo68	16	28	1023
evenBo14.oddBo17	36	79	926
evenBo33.oddBo22	17	74	705
evenBo4.oddBo22	46	74	283
evenBo11.oddBo67	39	29	1565
evenBo26.oddBo4	24	92	1235
evenBo19.oddBo52	31	44	550
evenBo35.oddBo43	15	53	1187
evenBo22.oddBo33	28	63	748
evenBo5.oddBo51	45	45	596
evenBo29.oddBo58	21	38	665
evenBo22.oddBo23	28	73	388
evenBo20.oddBo24	30	72	768
evenBo26.oddBo44	24	52	687
evenBo44.oddBo75	6	21	578
evenBo33.oddBo63	17	33	1940
evenBo38.oddBo67	12	29	1320
evenBo37.oddBo10	13	86	374
evenBo33.oddBo46	17	50	924
evenBo31.oddBo65	19	31	1868
evenBo24.oddBo47	26	49	577
evenBo34.oddBo75	16	21	1755
evenBo16.oddBo37	34	59	1140
evenBo41.oddBo36	9	60	991
evenBo48.oddBo76	2	20	946
evenBo8.oddBo49	42	47	494
evenBo7.oddBo67	43	29	582
evenBo23.oddBo67	27	29	1512
evenBo34.oddBo51	16	45	1765
evenBo41.oddBo54	9	42	845
evenBo38.oddBo34	12	62	960
evenBo37.oddBo52	13	44	655
evenBo30.oddBo70	20	26	1860
evenBo16.oddBo8	34	88	1109
evenBo37.oddBo72	13	24	1381
evenBo35.oddBo51	15	45	1564
evenBo37.oddBo12	13	84	484
evenBo37.oddBo20	13	76	1086
evenBo36.oddBo73	14	23	1422
evenBo37.oddBo38	13	58	1002
evenBo22.oddBo59	28	37	660
evenBo40.oddBo34	10	62	692
evenBo36.oddBo9	14	87	328
evenBo27.oddBo58	23	38	1455
evenBo17.oddBo77	33	19	739
evenBo37.oddBo6	13	90	266
evenBo37.oddBo79	13	17	733
evenBo25.oddBo91	25	5	473
evenBo12.oddBo67	38	29	978
evenBo40.oddBo33	10	63	784
evenBo38.oddBo84	12	12	1046
evenBo32.oddBo8	18	88	804
evenBo29.oddBo72	21	24	1417
evenBo46.oddBo56	4	40	992
evenBo22.oddBo49	28	47	812
evenBo41.oddBo33	9	63	1040
evenBo14.oddBo70	36	26	870
evenBo29.oddBo56	21	40	1699
