spot_id	x	y	legnum
evenBo15.oddBo65	35	31	11487
evenBo34.oddBo34	16	62	16251
evenBo26.oddBo65	24	31	68939
evenBo16.oddBo53	34	43	71906
evenBo35.oddBo42	15	54	14433
evenBo10.oddBo39	40	57	25198
evenBo19.oddBo37	31	59	17525
evenBo23.oddBo68	27	28	32022
evenBo21.oddBo31	29	65	12183
evenBo29.oddBo29	21	67	31163
evenBo14.oddBo34	36	62	16214
evenBo9.oddBo24	41	72	11093
evenBo50.oddBo24	0	72	22210
evenBo19.oddBo54	31	42	70313
evenBo25.oddBo30	25	66	9709
evenBo16.oddBo51	34	45	15898
evenBo23.oddBo51	27	45	51441
evenBo43.oddBo55	7	41	32044
evenBo12.oddBo43	38	53	12605
evenBo23.oddBo55	27	41	26968
evenBo14.oddBo17	36	79	1984
evenBo30.oddBo43	20	53	31327
evenBo17.oddBo40	33	56	8517
evenBo31.oddBo53	19	43	37022
evenBo42.oddBo47	8	49	26697
evenBo14.oddBo40	36	56	21122
evenBo18.oddBo54	32	42	68153
evenBo20.oddBo28	30	68	10081
evenBo47.oddBo69	3	27	67610
evenBo10.oddBo62	40	34	6710
evenBo43.oddBo21	7	75	51411
evenBo41.oddBo55	9	41	10303
evenBo25.oddBo66	25	30	42020
evenBo29.oddBo7	21	89	4281
evenBo23.oddBo26	27	70	14189
evenBo40.oddBo59	10	37	33887
evenBo36.oddBo54	14	42	35857
evenBo42.oddBo15	8	81	42955
evenBo21.oddBo24	29	72	27606
evenBo16.oddBo29	34	67	5908
evenBo2.oddBo3	48	93	1699
evenBo11.oddBo42	39	54	5695
evenBo38.oddBo43	12	53	32997
evenBo35.oddBo69	15	27	119885
evenBo38.oddBo65	12	31	63813
evenBo20.oddBo26	30	70	44936
evenBo38.oddBo28	12	68	2767
evenBo38.oddBo16	12	80	5156
evenBo17.oddBo54	33	42	85275
evenBo31.oddBo58	19	38	37526
evenBo24.oddBo65	26	31	28811
evenBo33.oddBo22	17	74	27088
evenBo37.oddBo49	13	47	13992
evenBo37.oddBo26	13	70	6932
evenBo19.oddBo58	31	38	77129
evenBo38.oddBo36	12	60	6278
evenBo13.oddBo47	37	49	14183
evenBo40.oddBo52	10	44	43395
evenBo34.oddBo54	16	42	43727
evenBo19.oddBo38	31	58	37102
evenBo25.oddBo43	25	53	16493
evenBo42.oddBo60	8	36	43049
evenBo50.oddBo58	0	38	6714
evenBo47.oddBo20	3	76	36627
evenBo22.oddBo61	28	35	31665
evenBo21.oddBo49	29	47	26372
evenBo15.oddBo63	35	33	50171
evenBo33.oddBo34	17	62	3480
evenBo27.oddBo53	23	43	87972
evenBo25.oddBo48	25	48	16482
evenBo25.oddBo59	25	37	60344
evenBo18.oddBo66	32	30	28832
evenBo47.oddBo19	3	77	37706
evenBo18.oddBo49	32	47	30421
evenBo1.oddBo68	49	28	633
evenBo8.oddBo51	42	45	73555
evenBo13.oddBo30	37	66	80100
evenBo31.oddBo65	19	31	26605
evenBo12.oddBo58	38	38	79490
evenBo27.oddBo33	23	63	5182
evenBo34.oddBo25	16	71	18677
evenBo47.oddBo31	3	65	4951
evenBo41.oddBo65	9	31	84725
evenBo16.oddBo39	34	57	17803
evenBo34.oddBo63	16	33	68366
evenBo34.oddBo48	16	48	31292
evenBo17.oddBo58	33	38	56900
evenBo11.oddBo46	39	50	8367
evenBo43.oddBo47	7	49	13582
evenBo32.oddBo60	18	36	32933
evenBo28.oddBo64	22	32	23103
evenBo32.oddBo35	18	61	5408
evenBo17.oddBo61	33	35	16998
evenBo17.oddBo21	33	75	242950
evenBo44.oddBo18	6	78	82255
evenBo40.oddBo40	10	56	9278
evenBo28.oddBo59	22	37	69845
evenBo12.oddBo63	38	33	25464
evenBo37.oddBo57	13	39	64909
evenBo10.oddBo50	40	46	15106
evenBo25.oddBo28	25	68	20409
evenBo37.oddBo31	13	65	8236
evenBo41.oddBo57	9	39	53196
evenBo16.oddBo20	34	76	28928
evenBo14.oddBo57	36	39	80640
evenBo4.oddBo30	46	66	936
evenBo13.oddBo29	37	67	44480
evenBo44.oddBo16	6	80	35597
evenBo41.oddBo22	9	74	19516
evenBo32.oddBo37	18	59	8997
evenBo47.oddBo34	3	62	16637
evenBo6.oddBo40	44	56	3225
evenBo8.oddBo65	42	31	16881
evenBo31.oddBo37	19	59	26639
evenBo23.oddBo56	27	40	41249
evenBo47.oddBo32	3	64	5398
evenBo20.oddBo35	30	61	7409
evenBo35.oddBo49	15	47	21953
evenBo50.oddBo66	0	30	26450
evenBo10.oddBo54	40	42	44564
evenBo32.oddBo20	18	76	27810
evenBo27.oddBo60	23	36	53221
evenBo18.oddBo35	32	61	8477
evenBo16.oddBo48	34	48	10363
evenBo36.oddBo20	14	76	3792
evenBo16.oddBo40	34	56	10068
evenBo3.oddBo64	47	32	770
evenBo27.oddBo52	23	44	77399
evenBo34.oddBo64	16	32	56336
evenBo36.oddBo35	14	61	18735
evenBo21.oddBo68	29	28	8890
evenBo41.oddBo15	9	81	60594
evenBo45.oddBo15	5	81	7664
evenBo8.oddBo49	42	47	81432
evenBo32.oddBo23	18	73	1689
evenBo43.oddBo64	7	32	26618
evenBo13.oddBo57	37	39	44818
evenBo39.oddBo65	11	31	49440
evenBo47.oddBo21	3	75	30746
evenBo11.oddBo30	39	66	1589
evenBo17.oddBo16	33	80	8913
evenBo49.oddBo19	1	77	24054
evenBo42.oddBo37	8	59	27599
evenBo39.oddBo66	11	30	33483
evenBo27.oddBo48	23	48	13948
evenBo17.oddBo53	33	43	54790
evenBo16.oddBo66	34	30	10354
evenBo20.oddBo20	30	76	3342
evenBo29.oddBo39	21	57	8519
evenBo6.oddBo42	44	54	16678
evenBo26.oddBo41	24	55	22175
evenBo10.oddBo16	40	80	2109
evenBo7.oddBo38	43	58	40764
evenBo22.oddBo38	28	58	13958
evenBo32.oddBo57	18	39	41605
evenBo24.oddBo56	26	40	96611
evenBo48.oddBo68	2	28	18459
evenBo25.oddBo54	25	42	35930
evenBo31.oddBo64	19	32	75208
evenBo31.oddBo56	19	40	42670
evenBo12.oddBo59	38	37	62269
evenBo26.oddBo57	24	39	197720
evenBo41.oddBo68	9	28	21526
evenBo36.oddBo61	14	35	71347
evenBo19.oddBo52	31	44	47374
evenBo25.oddBo65	25	31	55322
evenBo19.oddBo47	31	49	36601
evenBo7.oddBo63	43	33	2230
evenBo24.oddBo54	26	42	96494
evenBo29.oddBo70	21	26	24109
evenBo18.oddBo63	32	33	10929
evenBo34.oddBo12	16	84	2532
evenBo50.oddBo54	0	42	10274
evenBo14.oddBo22	36	74	3380
